Action ID,Priority,Fix Owner,Fix Owner Confidence,Fix Owner Rationale,Work Type,DS Component,DS Source Path,Needs Component Triage,Issue Summary,WCAG SC,SC Title,WCAG 2.2 Level,Max Impact,Open Occurrences,Fixed Occurrences,Total Occurrences,Apps / Reports Affected,Affected Test Units,Recommended Remediation,Already Fixed in DS Version,CHANGELOG Evidence,Deque Rule ID,Findings Group ID,Issue IDs To Mark Fixed,Auditor Test Run URLs
DS-011,P1,Design System code,High — matched a verified DS capability or rule,Keyboard operability of DS-rendered controls (useAccessibilityProps wires role/tabIndex/Enter+Space) is DS-owned.,Partially fixed — finish remaining occurrences,Interactive atoms (keyboard handlers),,Yes — pin exact component before fixing,Action cannot be performed with a screen reader turned on,2.1.1,Keyboard,A,Critical,2,1,3,Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit,Admin Overview | Header,"Make every interactive element operable by keyboard alone: use native `<button>`/`<a>`, or add `tabIndex={0}` plus Enter/Space handlers via the shared space-key utility; give scrollable regions a focusable container.",,,keyboard-not-touch-accessible,A11Y-033,"2354336, 2354351, 2355537",
DS-012,P1,Design System code,High — matched a verified DS capability or rule,Keyboard operability of DS-rendered controls (useAccessibilityProps wires role/tabIndex/Enter+Space) is DS-owned.,Fix required,Button,core/components/atoms/button,No,Function cannot be performed by keyboard alone,2.1.1,Keyboard,A,Critical,1,0,1,DS audit report,Date Range Picker,"Make every interactive element operable by keyboard alone: use native `<button>`/`<a>`, or add `tabIndex={0}` plus Enter/Space handlers via the shared space-key utility; give scrollable regions a focusable container.",,,keyboard-inaccessible,A11Y-056,2355007,https://axeauditor.dequecloud.com/test-run/45b36198-b498-11f0-a843-6f41ab87c814
DS-013,P1,App code (DS already exposes the required API),Medium — inferred from WCAG criterion + component role,DOM/reading order is determined by app composition.,Fix required,Card,core/components/atoms/card,No,Informative (static) content is not readable by a screen reader,1.3.2,Meaningful Sequence,A,Critical,1,0,1,Innovaccer - Incare Web Audit MDS issues found,Patient Consent,"Make DOM order match visual reading order; inject dynamically revealed content (menus, popovers, inline messages) immediately after its trigger and keep hidden content out of the reading order with `hidden`/`display:none` rather than visual offsets.",,,reading-order-content-skipped,A11Y-057,2408293,https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
DS-014,P1,Design System code,High — matched a verified DS capability or rule,Keyboard operability of DS-rendered controls (useAccessibilityProps wires role/tabIndex/Enter+Space) is DS-owned.,Fix required,Heading,core/components/atoms/heading,No,Function cannot be performed by keyboard alone,2.1.1,Keyboard,A,Critical,1,0,1,DS audit report,Date Picker,"Make every interactive element operable by keyboard alone: use native `<button>`/`<a>`, or add `tabIndex={0}` plus Enter/Space handlers via the shared space-key utility; give scrollable regions a focusable container.",,,keyboard-inaccessible,A11Y-060,2350975,https://axeauditor.dequecloud.com/test-run/45b36198-b498-11f0-a843-6f41ab87c814
DS-015,P1,Design System code,Medium — inferred from WCAG criterion + component role,"Role/state wiring (aria-expanded, aria-selected, aria-sort, required ARIA attrs) belongs to the DS component that renders the widget.",Fix required,Listbox,core/components/organisms/listbox,No,Custom select does not have a role and/or state,4.1.2,"Name, Role, Value",A,Critical,1,0,1,DS audit report,Create User Form,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",,,select-missing-role-state,A11Y-064,2354809,https://axeauditor.dequecloud.com/test-run/45b36198-b498-11f0-a843-6f41ab87c814
DS-016,P1,Design System code,Medium — inferred from WCAG criterion + component role,"Role/state wiring (aria-expanded, aria-selected, aria-sort, required ARIA attrs) belongs to the DS component that renders the widget.",Fix required,Menu,core/components/organisms/menu,No,Elements must only use supported ARIA attributes,4.1.2,"Name, Role, Value",A,Critical,1,0,1,Innovaccer - Incare Web Audit MDS issues found,High Risk Maternity,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",,,aria-allowed-attr,A11Y-065,2355735,https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
DS-017,P1,Design System code,Medium — inferred from WCAG criterion + component role,"Role/state wiring (aria-expanded, aria-selected, aria-sort, required ARIA attrs) belongs to the DS component that renders the widget.",Fix required,RichTextEditor,core/components/atoms/editable,No,Elements must only use supported ARIA attributes,4.1.2,"Name, Role, Value",A,Critical,1,0,1,Innovaccer - Incare Web Audit MDS issues found,Chronic Care Management,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",,,aria-allowed-attr,A11Y-069,2350060,https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
DS-018,P1,Design System code,Medium — inferred from WCAG criterion + component role,"Role/state wiring (aria-expanded, aria-selected, aria-sort, required ARIA attrs) belongs to the DS component that renders the widget.",Fix required,RichTextEditor,core/components/atoms/editable,No,Tooltip content is not accessible to screen readers,4.1.2,"Name, Role, Value",A,Critical,1,0,1,Innovaccer - Incare Web Audit MDS issues found,New Task,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",,,custom-tooltip,A11Y-070,2412008,https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
DS-019,P1,Design System code,High — matched a verified DS capability or rule,"RichTextEditor renders its own internal buttons (sort/close/clear/toolbar), so their role and accessible name are DS-owned.",Fix required,RichTextEditor,core/components/atoms/editable,No,Button does not have a name,4.1.2,"Name, Role, Value",A,Critical,1,0,1,Innovaccer - Incare Web Audit MDS issues found,New Task,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",,,button-name-inaccessible,A11Y-071,2412017,https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
DS-020,P1,Design System code,Medium — inferred from WCAG criterion + component role,"Role/state wiring (aria-expanded, aria-selected, aria-sort, required ARIA attrs) belongs to the DS component that renders the widget.",Fix required,RichTextEditor,core/components/atoms/editable,No,Custom radio button does not have a role and/or state,4.1.2,"Name, Role, Value",A,Critical,1,0,1,Innovaccer - Incare Web Audit MDS issues found,New Task,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",,,radio-missing-role-state,A11Y-072,2412018,https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
DS-021,P1,Design System code,High — matched a verified DS capability or rule,The visible focus indicator is rendered by DS component CSS.,Fix required,RichTextEditor,core/components/atoms/editable,No,Focus indicator is missing,2.4.7,Focus Visible,AA,Critical,1,0,1,Innovaccer - Incare Web Audit MDS issues found,Chronic Care Management,Provide a visible `:focus-visible` indicator on every focusable element — never `outline: none` without a token-based replacement ring.,,,focus-indicator-missing,A11Y-073,2350857,https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
DS-022,P1,Design System code,Medium — inferred from WCAG criterion + component role,"Role/state wiring (aria-expanded, aria-selected, aria-sort, required ARIA attrs) belongs to the DS component that renders the widget.",Fix required,Select,core/components/organisms/select,No,Elements must only use supported ARIA attributes,4.1.2,"Name, Role, Value",A,Critical,1,0,1,Innovaccer - Incare Web Audit MDS issues found,My Case details page,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",,,aria-allowed-attr,A11Y-074,2352496,https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
DS-023,P1,Design System code,High — matched a verified DS capability or rule,Keyboard operability of DS-rendered controls (useAccessibilityProps wires role/tabIndex/Enter+Space) is DS-owned.,Fix required,Text,core/components/atoms/text,No,Function cannot be performed by keyboard alone,2.1.1,Keyboard,A,Critical,1,0,1,Innovaccer - Incare Web Audit MDS issues found,Chronic Care Management,"Make every interactive element operable by keyboard alone: use native `<button>`/`<a>`, or add `tabIndex={0}` plus Enter/Space handlers via the shared space-key utility; give scrollable regions a focusable container.",,,keyboard-inaccessible,A11Y-078,2350757,https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
DS-024,P1,Design System code,Medium — inferred from WCAG criterion + component role,"Role/state wiring (aria-expanded, aria-selected, aria-sort, required ARIA attrs) belongs to the DS component that renders the widget.",Partially fixed — finish remaining occurrences,Tooltip,core/components/molecules/tooltip,No,Tooltip content is not accessible to screen readers,4.1.2,"Name, Role, Value",A,Critical,1,1,2,Innovaccer - Incare Web Audit MDS issues found,Document | Encounters,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",,,custom-tooltip,A11Y-046,"2347815, 2348868",https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
DS-025,P1,Design System code,High — matched a verified DS capability or rule,Keyboard operability of DS-rendered controls (useAccessibilityProps wires role/tabIndex/Enter+Space) is DS-owned.,Fix required,Tooltip,core/components/molecules/tooltip,No,Function cannot be performed by keyboard alone,2.1.1,Keyboard,A,Critical,1,0,1,Innovaccer - Incare Web Audit MDS issues found,Due - Week view,"Make every interactive element operable by keyboard alone: use native `<button>`/`<a>`, or add `tabIndex={0}` plus Enter/Space handlers via the shared space-key utility; give scrollable regions a focusable container.",,,keyboard-inaccessible,A11Y-079,2422867,https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
DS-026,P2,Both — DS default/API change + app must supply the value,High — matched a verified DS capability or rule,"Button forwards aria-label (Button.tsx:151) so the name is app-supplied, but role/name must also be correct on DS-rendered internal buttons (close, clear, sort).",Fix required,Button / Link,"core/components/atoms/button, core/components/atoms/link",Yes — pin exact component before fixing,ARIA commands must have an accessible name,4.1.2,"Name, Role, Value",A,Serious,7,0,11,"Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit",Admin Overview | Help - DAP - Overview | Help Center | Level of Access - Date Access tab | Level of Access - Permissions tab | Own User details page | Roles,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",,,aria-command-name,A11Y-008,"2338687, 2339066, 2339188, 2339310, 2340435, 2340503, 2340905, 2346098, 2350035, 2354491, 2354643",https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510
DS-027,P2,Design System code,Medium — inferred from WCAG criterion + component role,"Role/state wiring (aria-expanded, aria-selected, aria-sort, required ARIA attrs) belongs to the DS component that renders the widget.",Partially fixed — finish remaining occurrences,Disclosure controls (Accordion / Dropdown / Menu / Collapsible),"core/components/atoms/dropdown, core/components/organisms/menu, core/components/atoms/collapsible",Yes — pin exact component before fixing,Expand/collapse state of the element is missing or incorrect,4.1.2,"Name, Role, Value",A,Serious,7,3,10,"Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit",Admin - Secondary Header | Admin Overview | Base Role | Header | Level of Access - Date Access tab | Level of Access - Permissions tab,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",,,state-aria-expanded-missing-incorrect,A11Y-009,"2338939, 2345096, 2350495, 2353882, 2354342, 2354350, 2354581, 2354588, 2354597, 2355704",https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510
DS-028,P2,Design System code,High — matched a verified DS capability or rule,Colour comes from DS tokens (text.module.css has no hard-coded hex); raise the token/component contrast in css/src.,Fix required,Text,core/components/atoms/text,No,Elements must meet minimum color contrast ratio thresholds / Text content lacks 4.5:1 contrast ratio,1.4.3,Contrast (Minimum),AA,Serious,7,0,7,Innovaccer - Incare Web Audit MDS issues found,Due - Week view | My Case details page | Patient Consent | Phone Number Section,Raise text contrast to at least 4.5:1 (3:1 for large text) using approved contrast-safe design tokens from `css/src/variables/index.css`; applies to placeholder and in-focus/hover link text too.,,,"color-contrast, contrast-text-4.5-1",A11Y-019,"2341079, 2341080, 2341081, 2342525, 2342526, 2352500, 2412971",https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
DS-029,P2,Design System code,High — matched a verified DS capability or rule,Design tokens are defined in css/src/tokens and css/src/variables — fixable only in the DS.,Partially fixed — finish remaining occurrences,Design tokens — colour palette,"css/src/tokens/index.css, css/src/variables/index.css",No,Text content lacks 4.5:1 contrast ratio / Elements must meet minimum color contrast ratio thresholds / Text over an image lacks 4.5:1 contrast ratio,1.4.3,Contrast (Minimum),AA,Serious,6,1,64,"Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit",Admin Overview | Footer | Help - DAP - Overview | Help Center | Own User details page | Search Combobox | Search and fill out form,Raise text contrast to at least 4.5:1 (3:1 for large text) using approved contrast-safe design tokens from `css/src/variables/index.css`; applies to placeholder and in-focus/hover link text too.,,,"color-contrast, contrast-text-4.5-1, contrast-text-4.5-1-over-image",A11Y-001,"2339067, 2339068, 2339069, 2339070, 2339071, 2339072, 2339073, 2339074, 2339075, 2339076, 2339077, 2339078, 2339079, 2339080, 2339081, 2339082, 2339083, 2339084, 2339085, 2339086, 2339087, 2339088, 2339089, 2339090, 2339091, 2340504, 2340917, 2342012, 2346099, 2353689, 2353690, 2354053, 2354054, 2354585, 2354644, 2354645, 2354646, 2354647, 2354648, 2354649, 2354650, 2354651, 2354652, 2354653, 2354654, 2354655, 2354656, 2354657, 2354658, 2354659, 2354660, 2354661, 2354662, 2354663, 2354664, 2354665, 2354666, 2354667, 2354668, 2355103, 2355206, 2355210, 2355313, 2355407",https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510
DS-030,P2,Design System code,High — matched a verified DS capability or rule,Colour comes from DS tokens (text.module.css has no hard-coded hex); raise the token/component contrast in css/src.,Partially fixed — finish remaining occurrences,Link,core/components/atoms/link,No,Text content lacks 4.5:1 contrast ratio / Control text lacks 4.5:1 contrast ratio on hover or focus,1.4.3,Contrast (Minimum),AA,Serious,5,3,10,"Innovaccer - Incare Web Audit MDS issues found, Innovaccer - User Admin and Help Guide Web Audit",Admin - Secondary Header | Admin Overview | Footer | Help - DAP - Overview | Patients,Raise text contrast to at least 4.5:1 (3:1 for large text) using approved contrast-safe design tokens from `css/src/variables/index.css`; applies to placeholder and in-focus/hover link text too.,,,"contrast-link-infocus-4.5-1, contrast-text-4.5-1",A11Y-010,"2340916, 2341911, 2342010, 2342011, 2342014, 2342522, 2353648, 2353884, 2353902, 2354321","https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510"
DS-031,P2,Design System code,High — matched a verified DS capability or rule,The live region must be rendered by the DS component; an app cannot add one to markup it does not own.,Partially fixed — finish remaining occurrences,Live-region components (Toast / Message / Spinner / Grid),"core/components/atoms/toast, core/components/atoms/message, core/components/atoms/spinner, core/components/organisms/grid",Yes — pin exact component before fixing,Status message not automatically announced,4.1.3,Status Messages,AA,Serious,5,3,10,"Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit",Base Role | Level of Access - Date Access tab | Level of Access - Permissions tab | Own User details page | Roles | Search Combobox | Search and fill out form,"Announce dynamic status changes (loading, saved, validation, result counts) through a live region — `role=""status""` / `aria-live=""polite""` — without moving focus.",,,status-msg-not-auto-announced,A11Y-011,"2339293, 2340921, 2345593, 2349462, 2349647, 2350496, 2355208, 2355209, 2355291, 2355292",https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510
