Action ID,Priority,Issue ID,Audit Name,Source Report File,Source Row Number,DS Component,DS Source Path,WCAG SC,Issue Summary,Impact,Auditor Validation Status,Raw Auditor Validation Value,Auditor Link,Fix Landed (fill in),Fixed in DS Version (fill in),Marked Fixed In Report (Y/N),Verified By (fill in)
DS-003,P1,2350038,Innovaccer - User Admin and Help Guide Web Audit,report 5.csv,162,Input / Label,"core/components/atoms/input, core/components/atoms/label",4.1.2,Form elements must have labels,Critical,Open,Not Fixed,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,,,
DS-003,P1,2350039,Innovaccer - User Admin and Help Guide Web Audit,report 5.csv,163,Input / Label,"core/components/atoms/input, core/components/atoms/label",4.1.2,Form elements must have labels,Critical,Open,Not Fixed,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,,,
DS-004,P1,2341132,Innovaccer - User Admin and Help Guide Web Audit,report 5.csv,87,Interactive components (keyboard operability),,2.1.1,Function cannot be performed by keyboard alone,Critical,Open,Not Fixed,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,,,
DS-004,P1,2341338,Innovaccer - User Admin and Help Guide Web Audit,report 5.csv,96,Interactive components (keyboard operability),,2.1.1,Function cannot be performed by keyboard alone,Critical,Open,Partially Fixed,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,,,
DS-004,P1,2350437,Innovaccer - User Admin and Help Guide Web Audit,report 5.csv,164,Interactive components (keyboard operability),,2.1.1,Function cannot be performed by keyboard alone,Critical,Open,Not Fixed,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,,,
DS-004,P1,2353883,Innovaccer - User Admin and Help Guide Web Audit,report 5.csv,190,Interactive components (keyboard operability),,2.1.1,Function cannot be performed by keyboard alone,Critical,Open,Not Fixed,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,,,
DS-005,P1,2710767,Innovaccer - DAP and Analytics Web Audit - Retest,report 2.csv,2,Avatar,core/components/atoms/avatar,4.1.2,Required ARIA attributes must be provided,Critical,Open,(no validation column; Issue Status=Open),https://axeauditor.dequecloud.com/test-run/878fe7e8-63d0-11f1-8176-0f09a18241fa/issue/1d12d576-52c9-4e1e-bef2-63b7237de85a,,,,
DS-005,P1,2710766,Innovaccer - DAP and Analytics Web Audit - Retest,report 2.csv,5,Avatar,core/components/atoms/avatar,4.1.2,Required ARIA attributes must be provided,Critical,Open,(no validation column; Issue Status=Open),https://axeauditor.dequecloud.com/test-run/878fe7e8-63d0-11f1-8176-0f09a18241fa/issue/68e1db81-8a03-43e8-b009-c652d34c0762,,,,
DS-005,P1,2710768,Innovaccer - DAP and Analytics Web Audit - Retest,report 2.csv,8,Avatar,core/components/atoms/avatar,4.1.2,Required ARIA attributes must be provided,Critical,Open,(no validation column; Issue Status=Open),https://axeauditor.dequecloud.com/test-run/878fe7e8-63d0-11f1-8176-0f09a18241fa/issue/c65107a4-e495-4868-86cd-53f554339d09,,,,
DS-006,P1,2355207,Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit,report 4.csv,96,Dropdown / Combobox,"core/components/atoms/dropdown, core/components/organisms/combobox",4.1.2,Combobox is missing appropriate roles and/or attributes,Critical,Open,Not Fixed,,,,,
DS-006,P1,2340029,Innovaccer - User Admin and Help Guide Web Audit,report 5.csv,66,Dropdown / Combobox,"core/components/atoms/dropdown, core/components/organisms/combobox",4.1.2,Combobox is missing appropriate roles and/or attributes,Critical,Open,Not Fixed,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,,,
DS-006,P1,2342095,Innovaccer - User Admin and Help Guide Web Audit,report 5.csv,109,Dropdown / Combobox,"core/components/atoms/dropdown, core/components/organisms/combobox",4.1.2,Combobox is missing appropriate roles and/or attributes,Critical,Open,Not Fixed,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,,,
DS-007,P1,2354346,Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit,report 4.csv,16,Icon / Avatar (image alt),"core/components/atoms/icon, core/components/atoms/avatar",1.1.1,Text alternative for the informative image is missing,Critical,Open,Not Fixed,,,,,
DS-007,P1,2354601,Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit,report 4.csv,45,Icon / Avatar (image alt),"core/components/atoms/icon, core/components/atoms/avatar",1.1.1,The decorative image is not hidden from screen readers,Moderate,Open,Not Fixed,,,,,
DS-007,P1,2353890,Innovaccer - User Admin and Help Guide Web Audit,report 5.csv,197,Icon / Avatar (image alt),"core/components/atoms/icon, core/components/atoms/avatar",1.1.1,Text alternative does not present same info as image,Serious,Open,Not Fixed,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,,,
DS-008,P1,2350978,DS audit report,report 1.csv,20,Calendar,core/components/organisms/calendar,2.1.1,Function cannot be performed by keyboard alone,Critical,Open,(no validation column; Issue Status=Open),https://axeauditor.dequecloud.com/test-run/45b36198-b498-11f0-a843-6f41ab87c814/issue/ddada976-b4ad-11f0-91d4-d78827825c18,,,,
DS-008,P1,2342217,Innovaccer - Incare Web Audit MDS issues found,report 3.csv,54,Calendar,core/components/organisms/calendar,2.1.1,Function cannot be performed by keyboard alone,Critical,Open,(no validation column; Issue Status=Open),https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d/issue/c6dbdeec-b08f-11f0-ac47-570aabcec047,,,,
DS-009,P1,2354582,Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit,report 4.csv,29,Custom interactive elements (missing role),,4.1.2,The element's role is missing or incorrect,Critical,Open,Not Fixed,,,,,
DS-009,P1,2341138,Innovaccer - User Admin and Help Guide Web Audit,report 5.csv,91,Custom interactive elements (missing role),,4.1.2,The element's role is missing or incorrect,Critical,Open,Not Fixed,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,,,
DS-010,P1,2353861,DS audit report,report 1.csv,3,Icon,core/components/atoms/icon,1.1.1,Text alternative does not present same info as image,Serious,Open,(no validation column; Issue Status=Open),https://axeauditor.dequecloud.com/test-run/45b36198-b498-11f0-a843-6f41ab87c814/issue/2bf4eb16-b577-11f0-8d84-6f8e2e5d3a42,,,,
DS-010,P1,2350077,Innovaccer - Incare Web Audit MDS issues found,report 3.csv,62,Icon,core/components/atoms/icon,1.1.1,Images must have alternative text,Critical,Open,(no validation column; Issue Status=Open),https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d/issue/07e2d2f8-ffc8-4388-9df2-55c3af4609b8,,,,
DS-011,P1,2354336,Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit,report 4.csv,11,Interactive atoms (keyboard handlers),,2.1.1,Action cannot be performed with a screen reader turned on,Critical,Open,Not Fixed,,,,,
DS-011,P1,2354351,Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit,report 4.csv,18,Interactive atoms (keyboard handlers),,2.1.1,Action cannot be performed with a screen reader turned on,Critical,Open,Not Fixed,,,,,
DS-012,P1,2355007,DS audit report,report 1.csv,16,Button,core/components/atoms/button,2.1.1,Function cannot be performed by keyboard alone,Critical,Open,(no validation column; Issue Status=Open),https://axeauditor.dequecloud.com/test-run/45b36198-b498-11f0-a843-6f41ab87c814/issue/b438917c-b5f8-11f0-87a4-8fe2a1fb1b29,,,,
DS-013,P1,2408293,Innovaccer - Incare Web Audit MDS issues found,report 3.csv,86,Card,core/components/atoms/card,1.3.2,Informative (static) content is not readable by a screen reader,Critical,Open,(no validation column; Issue Status=Open),https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d/issue/d6f22e42-d0df-11f0-8e8e-3f5ea5d9b7b2,,,,
DS-014,P1,2350975,DS audit report,report 1.csv,19,Heading,core/components/atoms/heading,2.1.1,Function cannot be performed by keyboard alone,Critical,Open,(no validation column; Issue Status=Open),https://axeauditor.dequecloud.com/test-run/45b36198-b498-11f0-a843-6f41ab87c814/issue/c5b9ce80-b4ad-11f0-91c8-f3e2bd3141f9,,,,
DS-015,P1,2354809,DS audit report,report 1.csv,6,Listbox,core/components/organisms/listbox,4.1.2,Custom select does not have a role and/or state,Critical,Open,(no validation column; Issue Status=Open),https://axeauditor.dequecloud.com/test-run/45b36198-b498-11f0-a843-6f41ab87c814/issue/382a9f0e-b5b6-11f0-ab4d-a772ced5f2b5,,,,
DS-016,P1,2355735,Innovaccer - Incare Web Audit MDS issues found,report 3.csv,27,Menu,core/components/organisms/menu,4.1.2,Elements must only use supported ARIA attributes,Critical,Open,(no validation column; Issue Status=Open),https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d/issue/7bef1cd7-c553-4b4a-8b1c-073dfa77b65b,,,,
DS-017,P1,2350060,Innovaccer - Incare Web Audit MDS issues found,report 3.csv,63,RichTextEditor,core/components/atoms/editable,4.1.2,Elements must only use supported ARIA attributes,Critical,Open,(no validation column; Issue Status=Open),https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d/issue/02fd2b1d-9a32-4c6b-989d-e5365428ee23,,,,
DS-018,P1,2412008,Innovaccer - Incare Web Audit MDS issues found,report 3.csv,72,RichTextEditor,core/components/atoms/editable,4.1.2,Tooltip content is not accessible to screen readers,Critical,Open,(no validation column; Issue Status=Open),https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d/issue/81829864-d37a-11f0-afab-d7abdf0aa372,,,,
DS-019,P1,2412017,Innovaccer - Incare Web Audit MDS issues found,report 3.csv,73,RichTextEditor,core/components/atoms/editable,4.1.2,Button does not have a name,Critical,Open,(no validation column; Issue Status=Open),https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d/issue/81874318-d37b-11f0-ad51-27378986c28c,,,,
DS-020,P1,2412018,Innovaccer - Incare Web Audit MDS issues found,report 3.csv,74,RichTextEditor,core/components/atoms/editable,4.1.2,Custom radio button does not have a role and/or state,Critical,Open,(no validation column; Issue Status=Open),https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d/issue/8630d726-d37b-11f0-83d6-f7d38f3af2d4,,,,
DS-021,P1,2350857,Innovaccer - Incare Web Audit MDS issues found,report 3.csv,75,RichTextEditor,core/components/atoms/editable,2.4.7,Focus indicator is missing,Critical,Open,(no validation column; Issue Status=Open),https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d/issue/e7a13c7a-b4a5-11f0-9868-d793d239d30a,,,,
DS-022,P1,2352496,Innovaccer - Incare Web Audit MDS issues found,report 3.csv,18,Select,core/components/organisms/select,4.1.2,Elements must only use supported ARIA attributes,Critical,Open,(no validation column; Issue Status=Open),https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d/issue/495cfd56-e4c7-4b59-abf0-a3031c7c0369,,,,
DS-023,P1,2350757,Innovaccer - Incare Web Audit MDS issues found,report 3.csv,53,Text,core/components/atoms/text,2.1.1,Function cannot be performed by keyboard alone,Critical,Open,(no validation column; Issue Status=Open),https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d/issue/5f97a516-b49c-11f0-bf31-6b1bb6b9db09,,,,
DS-024,P1,2348868,Innovaccer - Incare Web Audit MDS issues found,report 3.csv,87,Tooltip,core/components/molecules/tooltip,4.1.2,Tooltip content is not accessible to screen readers,Critical,Open,(no validation column; Issue Status=Open),https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d/issue/a7adb244-b40d-11f0-aabc-133caf68f3cc,,,,
DS-025,P1,2422867,Innovaccer - Incare Web Audit MDS issues found,report 3.csv,36,Tooltip,core/components/molecules/tooltip,2.1.1,Function cannot be performed by keyboard alone,Critical,Open,(no validation column; Issue Status=Open),https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d/issue/01e11f6a-d71f-11f0-9583-e3e074261ec7,,,,
DS-026,P2,2354491,Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit,report 4.csv,19,Button / Link,"core/components/atoms/button, core/components/atoms/link",4.1.2,ARIA commands must have an accessible name,Serious,Open,Not Fixed,,,,,
DS-026,P2,2338687,Innovaccer - User Admin and Help Guide Web Audit,report 5.csv,4,Button / Link,"core/components/atoms/button, core/components/atoms/link",4.1.2,ARIA commands must have an accessible name,Serious,Open,Not fixed,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,,,
DS-026,P2,2339188,Innovaccer - User Admin and Help Guide Web Audit,report 5.csv,54,Button / Link,"core/components/atoms/button, core/components/atoms/link",4.1.2,ARIA commands must have an accessible name,Serious,Open,Not fixed,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,,,
DS-026,P2,2339310,Innovaccer - User Admin and Help Guide Web Audit,report 5.csv,62,Button / Link,"core/components/atoms/button, core/components/atoms/link",4.1.2,ARIA commands must have an accessible name,Serious,Open,Not fixed,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,,,
DS-026,P2,2340905,Innovaccer - User Admin and Help Guide Web Audit,report 5.csv,82,Button / Link,"core/components/atoms/button, core/components/atoms/link",4.1.2,ARIA commands must have an accessible name,Serious,Open,Not Fixed,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,,,
DS-026,P2,2346098,Innovaccer - User Admin and Help Guide Web Audit,report 5.csv,123,Button / Link,"core/components/atoms/button, core/components/atoms/link",4.1.2,ARIA commands must have an accessible name,Serious,Open,Not Fixed,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,,,
DS-026,P2,2350035,Innovaccer - User Admin and Help Guide Web Audit,report 5.csv,159,Button / Link,"core/components/atoms/button, core/components/atoms/link",4.1.2,ARIA commands must have an accessible name,Serious,Open,Not Fixed,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,,,
DS-027,P2,2354342,Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit,report 4.csv,14,Disclosure controls (Accordion / Dropdown / Menu / Collapsible),"core/components/atoms/dropdown, core/components/organisms/menu, core/components/atoms/collapsible",4.1.2,Expand/collapse state of the element is missing or incorrect,Serious,Open,Not Fixed,,,,,
DS-027,P2,2354350,Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit,report 4.csv,17,Disclosure controls (Accordion / Dropdown / Menu / Collapsible),"core/components/atoms/dropdown, core/components/organisms/menu, core/components/atoms/collapsible",4.1.2,Expand/collapse state of the element is missing or incorrect,Serious,Open,Not Fixed,,,,,
DS-027,P2,2354597,Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit,report 4.csv,43,Disclosure controls (Accordion / Dropdown / Menu / Collapsible),"core/components/atoms/dropdown, core/components/organisms/menu, core/components/atoms/collapsible",4.1.2,Expand/collapse state of the element is missing or incorrect,Serious,Open,Not Fixed,,,,,
DS-027,P2,2345096,Innovaccer - User Admin and Help Guide Web Audit,report 5.csv,111,Disclosure controls (Accordion / Dropdown / Menu / Collapsible),"core/components/atoms/dropdown, core/components/organisms/menu, core/components/atoms/collapsible",4.1.2,Expand/collapse state of the element is missing or incorrect,Serious,Open,New issue by remediation,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,,,
DS-027,P2,2350495,Innovaccer - User Admin and Help Guide Web Audit,report 5.csv,170,Disclosure controls (Accordion / Dropdown / Menu / Collapsible),"core/components/atoms/dropdown, core/components/organisms/menu, core/components/atoms/collapsible",4.1.2,Expand/collapse state of the element is missing or incorrect,Serious,Open,Not Fixed,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,,,
DS-027,P2,2353882,Innovaccer - User Admin and Help Guide Web Audit,report 5.csv,189,Disclosure controls (Accordion / Dropdown / Menu / Collapsible),"core/components/atoms/dropdown, core/components/organisms/menu, core/components/atoms/collapsible",4.1.2,Expand/collapse state of the element is missing or incorrect,Serious,Open,New issue by remediation,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,,,
DS-027,P2,2355704,Innovaccer - User Admin and Help Guide Web Audit,report 5.csv,244,Disclosure controls (Accordion / Dropdown / Menu / Collapsible),"core/components/atoms/dropdown, core/components/organisms/menu, core/components/atoms/collapsible",4.1.2,Expand/collapse state of the element is missing or incorrect,Serious,Open,Not Fixed,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,,,
DS-028,P2,2352500,Innovaccer - Incare Web Audit MDS issues found,report 3.csv,22,Text,core/components/atoms/text,1.4.3,Elements must meet minimum color contrast ratio thresholds,Serious,Open,(no validation column; Issue Status=Open),https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d/issue/a97d5886-6db8-4537-a85a-7227e52598a8,,,,
DS-028,P2,2412971,Innovaccer - Incare Web Audit MDS issues found,report 3.csv,37,Text,core/components/atoms/text,1.4.3,Text content lacks 4.5:1 contrast ratio,Serious,Open,(no validation column; Issue Status=Open),https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d/issue/1d987b72-d418-11f0-a1b5-7bd4cd5d1f2d,,,,
DS-028,P2,2342525,Innovaccer - Incare Web Audit MDS issues found,report 3.csv,81,Text,core/components/atoms/text,1.4.3,Elements must meet minimum color contrast ratio thresholds,Serious,Open,(no validation column; Issue Status=Open),https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d/issue/630b9ec2-c754-484f-b86d-50252cbd8be6,,,,
DS-028,P2,2342526,Innovaccer - Incare Web Audit MDS issues found,report 3.csv,82,Text,core/components/atoms/text,1.4.3,Elements must meet minimum color contrast ratio thresholds,Serious,Open,(no validation column; Issue Status=Open),https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d/issue/a5d3592f-2b93-49cc-8284-c08ec4a1fc85,,,,
DS-028,P2,2341079,Innovaccer - Incare Web Audit MDS issues found,report 3.csv,83,Text,core/components/atoms/text,1.4.3,Elements must meet minimum color contrast ratio thresholds,Serious,Open,(no validation column; Issue Status=Open),https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d/issue/89d0ad06-b843-48e0-a148-b0264c8caf5c,,,,
DS-028,P2,2341080,Innovaccer - Incare Web Audit MDS issues found,report 3.csv,84,Text,core/components/atoms/text,1.4.3,Elements must meet minimum color contrast ratio thresholds,Serious,Open,(no validation column; Issue Status=Open),https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d/issue/a0279349-f157-4af5-af7e-964bdf6a4c21,,,,
DS-028,P2,2341081,Innovaccer - Incare Web Audit MDS issues found,report 3.csv,85,Text,core/components/atoms/text,1.4.3,Elements must meet minimum color contrast ratio thresholds,Serious,Open,(no validation column; Issue Status=Open),https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d/issue/4ba028a6-b7b6-4f0f-890c-7365f7de0852,,,,
DS-029,P2,2355206,Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit,report 4.csv,95,Design tokens — colour palette,"css/src/tokens/index.css, css/src/variables/index.css",1.4.3,Text content lacks 4.5:1 contrast ratio,Serious,Open,Not Fixed,,,,,
DS-029,P2,2355210,Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit,report 4.csv,99,Design tokens — colour palette,"css/src/tokens/index.css, css/src/variables/index.css",1.4.3,Text content lacks 4.5:1 contrast ratio,Serious,Open,Not Fixed,,,,,
DS-029,P2,2342012,Innovaccer - User Admin and Help Guide Web Audit,report 5.csv,107,Design tokens — colour palette,"css/src/tokens/index.css, css/src/variables/index.css",1.4.3,Text content lacks 4.5:1 contrast ratio,Serious,Open,Not Fixed,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,,,
DS-029,P2,2346099,Innovaccer - User Admin and Help Guide Web Audit,report 5.csv,124,Design tokens — colour palette,"css/src/tokens/index.css, css/src/variables/index.css",1.4.3,Elements must meet minimum color contrast ratio thresholds,Serious,Open,Not Fixed,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,,,
DS-029,P2,2353689,Innovaccer - User Admin and Help Guide Web Audit,report 5.csv,177,Design tokens — colour palette,"css/src/tokens/index.css, css/src/variables/index.css",1.4.3,Elements must meet minimum color contrast ratio thresholds,Serious,Open,Not Fixed,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,,,
DS-029,P2,2353690,Innovaccer - User Admin and Help Guide Web Audit,report 5.csv,178,Design tokens — colour palette,"css/src/tokens/index.css, css/src/variables/index.css",1.4.3,Elements must meet minimum color contrast ratio thresholds,Serious,Open,Not Fixed,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,,,
DS-030,P2,2342522,Innovaccer - Incare Web Audit MDS issues found,report 3.csv,32,Link,core/components/atoms/link,1.4.3,Text content lacks 4.5:1 contrast ratio,Serious,Open,(no validation column; Issue Status=Open),https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d/issue/32254e40-b09f-11f0-b891-8b08e8cb29e4,,,,
DS-030,P2,2342010,Innovaccer - User Admin and Help Guide Web Audit,report 5.csv,105,Link,core/components/atoms/link,1.4.3,Control text lacks 4.5:1 contrast ratio on hover or focus,Serious,Open,Not Fixed,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,,,
DS-030,P2,2342011,Innovaccer - User Admin and Help Guide Web Audit,report 5.csv,106,Link,core/components/atoms/link,1.4.3,Control text lacks 4.5:1 contrast ratio on hover or focus,Serious,Open,Not Fixed,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,,,
DS-030,P2,2342014,Innovaccer - User Admin and Help Guide Web Audit,report 5.csv,108,Link,core/components/atoms/link,1.4.3,Control text lacks 4.5:1 contrast ratio on hover or focus,Serious,Open,Not Fixed,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,,,
DS-030,P2,2353648,Innovaccer - User Admin and Help Guide Web Audit,report 5.csv,174,Link,core/components/atoms/link,1.4.3,Control text lacks 4.5:1 contrast ratio on hover or focus,Serious,Open,Not Fixed,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,,,
DS-031,P2,2355208,Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit,report 4.csv,97,Live-region components (Toast / Message / Spinner / Grid),"core/components/atoms/toast, core/components/atoms/message, core/components/atoms/spinner, core/components/organisms/grid",4.1.3,Status message not automatically announced,Serious,Open,Not Fixed,,,,,
DS-031,P2,2355209,Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit,report 4.csv,98,Live-region components (Toast / Message / Spinner / Grid),"core/components/atoms/toast, core/components/atoms/message, core/components/atoms/spinner, core/components/organisms/grid",4.1.3,Status message not automatically announced,Serious,Open,Not Fixed,,,,,
DS-031,P2,2339293,Innovaccer - User Admin and Help Guide Web Audit,report 5.csv,61,Live-region components (Toast / Message / Spinner / Grid),"core/components/atoms/toast, core/components/atoms/message, core/components/atoms/spinner, core/components/organisms/grid",4.1.3,Status message not automatically announced,Serious,Open,Not fixed,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,,,
DS-031,P2,2345593,Innovaccer - User Admin and Help Guide Web Audit,report 5.csv,115,Live-region components (Toast / Message / Spinner / Grid),"core/components/atoms/toast, core/components/atoms/message, core/components/atoms/spinner, core/components/organisms/grid",4.1.3,Status message not automatically announced,Serious,Open,Not Fixed,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,,,
