Group ID,Scope,DS Component,DS Source Path,Open Occurrences,Fixed Occurrences,Out of Scope Occurrences,Not Applicable Occurrences,Auditor Status Breakdown,Component Attribution Confidence,Issue Summary,Deque Rule ID,WCAG SC,SC Title,WCAG 2.2 Level,Guideline,Principle,Max Impact,Duplicate Occurrences,Impact Breakdown,Source Reports,Deque Issue IDs,Auditor Issue Links,Auditor Link Precision,Auditor Test Run URLs,Test Run Names,Affected Test Units,Recommended Remediation,Remediation Status,Fixed in DS Version (CHANGELOG match),CHANGELOG Evidence
A11Y-011,Design System — component,Live-region components (Toast / Message / Spinner / Grid),"core/components/atoms/toast, core/components/atoms/message, core/components/atoms/spinner, core/components/organisms/grid",5,3,2,0,"Fixed:3, Open:5, Out of scope:2",Medium (inferred from Deque rule id),Status message not automatically announced,status-msg-not-auto-announced,4.1.3,Status Messages,AA,4.1 Compatible,4 Robust,Serious,10,Serious:10,"Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit","2339293, 2340921, 2345593, 2349462, 2349647, 2350496, 2355208, 2355209, 2355291, 2355292","2339293
2340921
2345593
2349462
2349647
2350496
2355208
2355209
2355291
2355292",Test-run link only — source export omits per-issue auditor URLs; find by Issue ID in the run,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,Base Role | Level of Access - Date Access tab | Level of Access - Permissions tab | Own User details page | Roles | Search Combobox | Search and fill out form,"Announce dynamic status changes (loading, saved, validation, result counts) through a live region — `role=""status""` / `aria-live=""polite""` — without moving focus.",Partially fixed — 5 of 10 occurrences still open per auditor,,
A11Y-012,Design System — component,ARIA composite widgets (Listbox / Combobox / Tabs / Grid),"core/components/organisms/listbox, core/components/organisms/combobox, core/components/molecules/tabs, core/components/organisms/grid",4,5,0,0,"Fixed:5, Open:4",Medium (inferred from Deque rule id),Required ARIA attributes must be provided,aria-required-attr,4.1.2,"Name, Role, Value",A,4.1 Compatible,4 Robust,Critical,9,Critical:9,"Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit","2339189, 2339190, 2339191, 2339192, 2339193, 2354492, 2354493, 2354494, 2354495","2339189
2339190
2339191
2339192
2339193
2354492
2354493
2354494
2354495",Test-run link only — source export omits per-issue auditor URLs; find by Issue ID in the run,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,Admin Overview,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",Partially fixed — 4 of 9 occurrences still open per auditor,,
A11Y-013,Design System — component,Custom interactive elements (missing role),,2,6,0,1,"Fixed:6, Not applicable:1, Open:2",Medium (inferred from Deque rule id),The element's role is missing or incorrect,aria-role-missing,4.1.2,"Name, Role, Value",A,4.1 Compatible,4 Robust,Critical,9,Critical:9,"Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit","2341138, 2349466, 2350444, 2353848, 2354582, 2354584, 2354603, 2355297, 2355633","2341138
2349466
2350444
2353848
2354582
2354584
2354603
2355297
2355633",Test-run link only — source export omits per-issue auditor URLs; find by Issue ID in the run,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,Admin Overview | Base Role | Level of Access - Date Access tab | Level of Access - Permissions tab | Own User details page,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",Partially fixed — 2 of 9 occurrences still open per auditor,,
A11Y-014,Design System — component,Button,core/components/atoms/button,2,5,0,2,"Fixed:5, Not applicable:2, Open:2",Medium (inferred from Deque rule id),Controls have same name but different actions,buttons-confusing,2.4.6,Headings and Labels,AA,2.4 Navigable,2 Operable,Serious,9,Serious:9,"Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit","2338934, 2340183, 2345689, 2345934, 2350446, 2354589, 2354590, 2354595, 2355419","2338934
2340183
2345689
2345934
2350446
2354589
2354590
2354595
2355419",Test-run link only — source export omits per-issue auditor URLs; find by Issue ID in the run,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,Admin Overview | Base Role | Level of Access - Date Access tab | Level of Access - Permissions tab | Roles,"Give each control a unique, descriptive programmatic label that starts with its visible text; disambiguate repeated controls (e.g. multiple ""Edit"" buttons) with row/section context, and use meaningful `title`/heading text.",Partially fixed — 2 of 9 occurrences still open per auditor,,
A11Y-015,Product / page level,N/A — product layout (reflow),,5,2,0,1,"Fixed:2, Not applicable:1, Open:5",N/A (not a DS defect),Info or functionality is lost due to overlapping content at 320px equivalent / Info or functionality is unavailable at 320px width equivalent / Content does not reflow to fit 320px width equivalent,"content-horizontal-scroll, content-reflow-content-lost, content-reflow-content-missing",1.4.10,Reflow,AA,1.4 Distinguishable,1 Perceivable,Serious,8,Serious:8,Innovaccer - User Admin and Help Guide Web Audit,"2340723, 2340725, 2341137, 2345842, 2346220, 2349652, 2349653, 2353987","2340723
2340725
2341137
2345842
2346220
2349652
2349653
2353987",Test-run link only — source export omits per-issue auditor URLs; find by Issue ID in the run,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,Admin Overview | Base Role | Help - DAP - Overview | Level of Access - Date Access tab | Own User details page | Roles,"Support reflow at 320 CSS px with no two-dimensional scrolling — no fixed pixel widths, allow wrapping, and keep all content reachable.",Not a DS defect — product/page level,,
A11Y-016,Design System — component,Button,core/components/atoms/button,4,2,1,0,"Fixed:2, Open:4, Out of scope:1",Medium (inferred from Deque rule id),Button does not have a role / Button is missing both a role and a name / Buttons must have discernible text,"button-missing-role, button-name, button-role-name-missing",4.1.2,"Name, Role, Value",A,4.1 Compatible,4 Robust,Critical,7,"Critical:2, Serious:5","Innovaccer - Incare Web Audit MDS issues found, Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit","2340839, 2345596, 2348723, 2354337, 2354339, 2354343, 2354604","2340839
2345596
2348723: https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d/issue/70953d20-b400-11f0-885b-4f90a1994552
2354337
2354339
2354343
2354604","Mixed — some occurrences deep-linked, others test-run only","https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510",Innovoccer - Case and Care Management Web Audit_10-21-25-05:06,Admin Overview | Document | Header | How can we improve this article dialog,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",Partially fixed — 4 of 7 occurrences still open per auditor,,
A11Y-017,Design System — component,Input,core/components/atoms/input,4,1,2,0,"Fixed:1, Open:4, Out of scope:2",Medium (inferred from Deque rule id),Placeholder text lacks 4.5:1 contrast ratio,contrast-text-4.5-1-placeholder,1.4.3,Contrast (Minimum),AA,1.4 Distinguishable,1 Perceivable,Serious,7,Serious:7,"Innovaccer - Incare Web Audit MDS issues found, Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit","2342544, 2345488, 2354418, 2355205, 2355211, 2355309, 2371018","2342544: https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d/issue/1ec3e6c0-b0a1-11f0-8af6-fbe333191d68
2345488: https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d/issue/d81a2338-b2f3-11f0-bd21-eb7eb41dee14
2354418
2355205
2355211
2355309
2371018: https://axeauditor.dequecloud.com/test-run/9e878f64-b8a4-11f0-b13a-430b8706e058/issue/5a2f73d8-bebf-11f0-9a01-c707a857d243","Mixed — some occurrences deep-linked, others test-run only","https://axeauditor.dequecloud.com/test-run/9e878f64-b8a4-11f0-b13a-430b8706e058
https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d
https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510",Innovaccer - Case and Care Management Web Mobile (Tablet) Audit_11-03-25-04:31 | Innovoccer - Case and Care Management Web Audit_10-21-25-05:06,Assessments | Patient Consent | Search Combobox | Search and fill out form,Raise text contrast to at least 4.5:1 (3:1 for large text) using approved contrast-safe design tokens from `css/src/variables/index.css`; applies to placeholder and in-focus/hover link text too.,Partially fixed — 4 of 7 occurrences still open per auditor,,
A11Y-018,Design System — component,Modal / Sidesheet,"core/components/molecules/modal, core/components/molecules/sidesheet",3,3,1,0,"Fixed:3, Open:3, Out of scope:1",Medium (inferred from Deque rule id),"Keyboard focus is not placed on opened modal / Keyboard focus is not maintained in modal / Modal is closed, focus is not returned to trigger","focus-modal-moves-outside, focus-modal-none, focus-modal-not-returned",2.4.3,Focus Order,A,2.4 Navigable,2 Operable,Serious,7,Serious:7,Innovaccer - User Admin and Help Guide Web Audit,"2353887, 2353888, 2353889, 2354409, 2355686, 2355689, 2355690","2353887
2353888
2353889
2354409
2355686
2355689
2355690",Test-run link only — source export omits per-issue auditor URLs; find by Issue ID in the run,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,Admin - Secondary Header | How can we improve this article dialog | Own User details page,"Keep focus order logical and trap focus inside modals/overlays: move focus to the dialog on open, cycle within it, restore focus to the trigger on close, and never focus visually hidden items.",Partially fixed — 3 of 7 occurrences still open per auditor,,
A11Y-019,Design System — component,Text,core/components/atoms/text,7,0,0,0,Open:7,High (declared in source report),Elements must meet minimum color contrast ratio thresholds / Text content lacks 4.5:1 contrast ratio,"color-contrast, contrast-text-4.5-1",1.4.3,Contrast (Minimum),AA,1.4 Distinguishable,1 Perceivable,Serious,7,Serious:7,Innovaccer - Incare Web Audit MDS issues found,"2341079, 2341080, 2341081, 2342525, 2342526, 2352500, 2412971","2341079: https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d/issue/89d0ad06-b843-48e0-a148-b0264c8caf5c
2341080: https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d/issue/a0279349-f157-4af5-af7e-964bdf6a4c21
2341081: https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d/issue/4ba028a6-b7b6-4f0f-890c-7365f7de0852
2342525: https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d/issue/630b9ec2-c754-484f-b86d-50252cbd8be6
2342526: https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d/issue/a5d3592f-2b93-49cc-8284-c08ec4a1fc85
2352500: https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d/issue/a97d5886-6db8-4537-a85a-7227e52598a8
2412971: https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d/issue/1d987b72-d418-11f0-a1b5-7bd4cd5d1f2d",Per-issue deep link,https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d,Innovoccer - Case and Care Management Web Audit_10-21-25-05:06,Due - Week view | My Case details page | Patient Consent | Phone Number Section,Raise text contrast to at least 4.5:1 (3:1 for large text) using approved contrast-safe design tokens from `css/src/variables/index.css`; applies to placeholder and in-focus/hover link text too.,Open — remediation required (7 occurrences),,
A11Y-020,Design System — component,Selection controls (Tabs / VerticalNav / Listbox / Chip),"core/components/molecules/tabs, core/components/organisms/verticalNav, core/components/organisms/listbox, core/components/atoms/chip",2,2,2,0,"Fixed:2, Open:2, Out of scope:2",Medium (inferred from Deque rule id),Selected state of the element is missing or incorrect,state-selected-missing-incorrect,4.1.2,"Name, Role, Value",A,4.1 Compatible,4 Robust,Serious,6,Serious:6,"Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit","2340841, 2341391, 2350438, 2353879, 2355397, 2355420","2340841
2341391
2350438
2353879
2355397
2355420",Test-run link only — source export omits per-issue auditor URLs; find by Issue ID in the run,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,Admin - Secondary Header | Help - DAP - Overview | Level of Access - Date Access tab,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",Partially fixed — 2 of 6 occurrences still open per auditor,,
A11Y-021,Design System — component,Input,core/components/atoms/input,2,0,3,0,"Open:2, Out of scope:3",Medium (inferred from Deque rule id),Label is not persistent / Visible label missing,"label-is-placeholder, label-not-present",3.3.2,Labels or Instructions,A,3.3 Input Assistance,3 Understandable,Serious,5,Serious:5,"Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit","2347996, 2353869, 2354192, 2355213, 2355332","2347996
2353869
2354192
2355213
2355332",Test-run link only — source export omits per-issue auditor URLs; find by Issue ID in the run,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,How can we improve this article dialog | Own User details page | Search Combobox | Search and fill out form,Provide a persistent visible `<label>` associated with every input — placeholder text is not a label; add labels to native and custom selects.,Partially fixed — 2 of 5 occurrences still open per auditor,4.24.0,Input: forward aria-labelledby and honour consumer tabIndex
A11Y-022,Product / page level,N/A — page markup (<html lang>),,1,0,4,0,"Open:1, Out of scope:4",N/A (not a DS defect),<html> element must have a valid value for the lang attribute,html-lang-valid,3.1.1,Language of Page,A,3.1 Readable,3 Understandable,Serious,5,Serious:5,"Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit","2339095, 2340439, 2340508, 2340909, 2354672","2339095
2340439
2340508
2340909
2354672",Test-run link only — source export omits per-issue auditor URLs; find by Issue ID in the run,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,Help - DAP - Overview | Help Center,Set a valid `lang` attribute on the `<html>` element of the page/iframe.,Not a DS defect — product/page level,,
A11Y-023,Product / page level,N/A — page markup (<title>),,1,4,0,0,"Fixed:4, Open:1",N/A (not a DS defect),Page TITLE element does not identify purpose of page,title-not-meaningful,2.4.6,Headings and Labels,AA,2.4 Navigable,2 Operable,Serious,5,"Serious:3, Moderate:2","Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit","2340737, 2345690, 2346219, 2355266, 2355725","2340737
2345690
2346219
2355266
2355725",Test-run link only — source export omits per-issue auditor URLs; find by Issue ID in the run,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,Admin Overview | Base Role | Own User details page | Roles,"Give each control a unique, descriptive programmatic label that starts with its visible text; disambiguate repeated controls (e.g. multiple ""Edit"" buttons) with row/section context, and use meaningful `title`/heading text.",Not a DS defect — product/page level,,
A11Y-024,Product / page level,N/A — page markup (iframe),,1,0,4,0,"Open:1, Out of scope:4",N/A (not a DS defect),Frames must have an accessible name,frame-title,4.1.2,"Name, Role, Value",A,4.1 Compatible,4 Robust,Serious,5,Serious:5,"Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit","2339094, 2340438, 2340507, 2340908, 2354671","2339094
2340438
2340507
2340908
2354671",Test-run link only — source export omits per-issue auditor URLs; find by Issue ID in the run,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,Help - DAP - Overview | Help Center,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",Not a DS defect — product/page level,,
A11Y-025,Product / page level,N/A — product DOM order,,2,3,0,0,"Fixed:3, Open:2",N/A (not a DS defect),Correct reading order of dynamic content not determinable,new-content-bad-location,1.3.2,Meaningful Sequence,A,1.3 Adaptable,1 Perceivable,Serious,5,Serious:5,"Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit","2341392, 2354592, 2354594, 2354598, 2355409","2341392
2354592
2354594
2354598
2355409",Test-run link only — source export omits per-issue auditor URLs; find by Issue ID in the run,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,Admin Overview | Roles,"Make DOM order match visual reading order; inject dynamically revealed content (menus, popovers, inline messages) immediately after its trigger and keep hidden content out of the reading order with `hidden`/`display:none` rather than visual offsets.",Not a DS defect — product/page level,,
A11Y-026,Design System — component,Breadcrumbs,core/components/atoms/breadcrumbs,1,1,3,0,"Fixed:1, Open:1, Out of scope:3",Medium (inferred from Deque rule id),Breadcrumb region is missing appropriate roles and/or attributes,custom-breadcrumb,4.1.2,"Name, Role, Value",A,4.1 Compatible,4 Robust,Moderate,5,Moderate:5,"Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit","2340481, 2340837, 2341694, 2345095, 2355396","2340481
2340837
2341694
2345095
2355396",Test-run link only — source export omits per-issue auditor URLs; find by Issue ID in the run,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,Base Role | Help - DAP - Overview,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",Partially fixed — 1 of 5 occurrences still open per auditor,4.22.0,breadcrumbs: enhance accessibility by adding aria-labels and changing div to nav
A11Y-027,Design System — tokens,Design tokens — focus ring,"css/src/tokens/index.css, css/src/variables/index.css",0,1,3,0,"Fixed:1, Out of scope:3",Medium (inferred from Deque rule id),Focus indicator is missing / Focus indicator is not visible,"focus-indicator-missing, focus-not-clearly-visible",2.4.7,Focus Visible,AA,2.4 Navigable,2 Operable,Critical,4,"Critical:3, Serious:1",Innovaccer - User Admin and Help Guide Web Audit,"2340449, 2341310, 2347680, 2354211","2340449
2341310
2347680
2354211",Test-run link only — source export omits per-issue auditor URLs; find by Issue ID in the run,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,Admin Overview | How can we improve this article dialog | Search and fill out form,Provide a visible `:focus-visible` indicator on every focusable element — never `outline: none` without a token-based replacement ring.,"Fixed — validated by auditor (1 closed, 3 out of scope); DS version not identifiable from CHANGELOG",,
A11Y-028,Design System — component,Dropdown / Combobox,"core/components/atoms/dropdown, core/components/organisms/combobox",3,0,1,0,"Open:3, Out of scope:1",Medium (inferred from Deque rule id),Combobox is missing appropriate roles and/or attributes,custom-combobox,4.1.2,"Name, Role, Value",A,4.1 Compatible,4 Robust,Critical,4,Critical:4,"Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit","2340029, 2342095, 2355207, 2355320","2340029
2342095
2355207
2355320",Test-run link only — source export omits per-issue auditor URLs; find by Issue ID in the run,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,Admin Overview | Roles | Search Combobox | Search and fill out form,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",Partially fixed — 3 of 4 occurrences still open per auditor,,
A11Y-029,Design System — component,Icon,core/components/atoms/icon,3,1,0,0,"Fixed:1, Open:3",High (matched DS markup in captured source),Programmatic label does not convey purpose of control,label-programmatic-not-descriptive,2.4.6,Headings and Labels,AA,2.4 Navigable,2 Operable,Serious,4,Serious:4,"DS audit report, Innovaccer - Incare Web Audit MDS issues found","2350899, 2352169, 2356803, 2356985","2350899: https://axeauditor.dequecloud.com/test-run/45b36198-b498-11f0-a843-6f41ab87c814/issue/f9027608-b4a7-11f0-bb7a-8b06d72282b2
2352169: https://axeauditor.dequecloud.com/test-run/45b36198-b498-11f0-a843-6f41ab87c814/issue/4168cca4-b4d9-11f0-b779-af87fbe40b3b
2356803: https://axeauditor.dequecloud.com/test-run/45b36198-b498-11f0-a843-6f41ab87c814/issue/a2112acc-b666-11f0-992e-07b5028d022e
2356985: https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d/issue/8306b73e-b795-11f0-93db-8353a4da7f74",Per-issue deep link,"https://axeauditor.dequecloud.com/test-run/45b36198-b498-11f0-a843-6f41ab87c814
https://axeauditor.dequecloud.com/test-run/aa8a8272-ae0d-11f0-a2d2-5f492969aa5d",Innovaccer - Design System Audit_10-29-25-12:53 | Innovoccer - Case and Care Management Web Audit_10-21-25-05:06,Basic Form | Date Picker | My Case details page | Time Period Form,"Give each control a unique, descriptive programmatic label that starts with its visible text; disambiguate repeated controls (e.g. multiple ""Edit"" buttons) with row/section context, and use meaningful `title`/heading text.",Partially fixed — 3 of 4 occurrences still open per auditor,4.26.0,Icon: announce aria-label instead of icon name (role=img)
A11Y-030,Design System — component,Labelled controls (Input / Button / Select),"core/components/atoms/input, core/components/atoms/button, core/components/organisms/select",2,1,1,0,"Fixed:1, Open:2, Out of scope:1",Medium (inferred from Deque rule id),Programmatic label does not convey purpose of control,label-programmatic-not-descriptive,2.4.6,Headings and Labels,AA,2.4 Navigable,2 Operable,Serious,4,Serious:4,"Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit, Innovaccer - User Admin and Help Guide Web Audit","2347965, 2353650, 2354580, 2355669","2347965
2353650
2354580
2355669",Test-run link only — source export omits per-issue auditor URLs; find by Issue ID in the run,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,Admin Overview | Footer | How can we improve this article dialog,"Give each control a unique, descriptive programmatic label that starts with its visible text; disambiguate repeated controls (e.g. multiple ""Edit"" buttons) with row/section context, and use meaningful `title`/heading text.",Partially fixed — 2 of 4 occurrences still open per auditor,,
A11Y-031,Product / page level,N/A — product layout (text zoom),,3,1,0,0,"Fixed:1, Open:3",N/A (not a DS defect),Functionality is lost at 200% zoom,resize-text-function-lost,1.4.4,Resize text,AA,1.4 Distinguishable,1 Perceivable,Serious,4,Serious:4,Innovaccer - User Admin and Help Guide Web Audit,"2341133, 2349651, 2354216, 2355324","2341133
2349651
2354216
2355324",Test-run link only — source export omits per-issue auditor URLs; find by Issue ID in the run,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,Help - DAP - Overview | Level of Access - Date Access tab | Own User details page | Roles,Keep all content and function available at 200% text zoom — use relative units (`rem`) and avoid fixed heights that clip or hide controls.,Not a DS defect — product/page level,,
A11Y-032,Design System — component,Avatar,core/components/atoms/avatar,3,0,0,0,Open:3,High (matched DS markup in captured source),Required ARIA attributes must be provided,aria-required-attr,4.1.2,"Name, Role, Value",A,4.1 Compatible,4 Robust,Critical,3,Critical:3,Innovaccer - DAP and Analytics Web Audit - Retest,"2710766, 2710767, 2710768","2710766: https://axeauditor.dequecloud.com/test-run/878fe7e8-63d0-11f1-8176-0f09a18241fa/issue/68e1db81-8a03-43e8-b009-c652d34c0762
2710767: https://axeauditor.dequecloud.com/test-run/878fe7e8-63d0-11f1-8176-0f09a18241fa/issue/1d12d576-52c9-4e1e-bef2-63b7237de85a
2710768: https://axeauditor.dequecloud.com/test-run/878fe7e8-63d0-11f1-8176-0f09a18241fa/issue/c65107a4-e495-4868-86cd-53f554339d09",Per-issue deep link,https://axeauditor.dequecloud.com/test-run/878fe7e8-63d0-11f1-8176-0f09a18241fa,Innovaccer - DAP and Analytics Web Audit - Retest_06-09-26-12:25,Cohort Builder,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",Open — remediation required (3 occurrences),,
A11Y-033,Design System — component,Interactive atoms (keyboard handlers),,2,1,0,0,"Fixed:1, Open:2",Medium (inferred from Deque rule id),Action cannot be performed with a screen reader turned on,keyboard-not-touch-accessible,2.1.1,Keyboard,A,2.1 Keyboard Accessible,2 Operable,Critical,3,Critical:3,Innovaccer - User Admin and Help Guide Mobile (Tablet) Web Audit,"2354336, 2354351, 2355537","2354336
2354351
2355537",None — source export has no auditor URL; look up by Issue ID in axe Auditor,,,Admin Overview | Header,"Make every interactive element operable by keyboard alone: use native `<button>`/`<a>`, or add `tabIndex={0}` plus Enter/Space handlers via the shared space-key utility; give scrollable regions a focusable container.",Partially fixed — 2 of 3 occurrences still open per auditor,,
A11Y-034,Design System — component,Table / Grid,"core/components/organisms/table, core/components/organisms/grid",0,3,0,0,Fixed:3,Medium (inferred from Deque rule id),Content should be in a data table but is not,semantic-data-table,1.3.1,Info and Relationships,A,1.3 Adaptable,1 Perceivable,Critical,3,Critical:3,Innovaccer - User Admin and Help Guide Web Audit,"2340172, 2349641, 2355635","2340172
2349641
2355635",Test-run link only — source export omits per-issue auditor URLs; find by Issue ID in the run,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,Admin Overview | Own User details page | Roles,"Convey structure semantically: real `<ul>/<ol>` with only `<li>` children, `<table>` with `<th scope>` header cells, heading levels in sequential order, and programmatically associated group labels (`<fieldset>/<legend>` or `role=""group""` + `aria-labelledby`).",Fixed — validated by auditor (3 closed); DS version not identifiable from CHANGELOG,,
A11Y-035,Design System — component,Avatar,core/components/atoms/avatar,3,0,0,0,Open:3,High (matched DS markup in captured source),Interactive controls must not be nested,nested-interactive,4.1.2,"Name, Role, Value",A,4.1 Compatible,4 Robust,Serious,3,Serious:3,Innovaccer - DAP and Analytics Web Audit - Retest,"2710774, 2710775, 2710776","2710774: https://axeauditor.dequecloud.com/test-run/878fe7e8-63d0-11f1-8176-0f09a18241fa/issue/78b5f560-23ed-4e09-a02d-5f8ead478180
2710775: https://axeauditor.dequecloud.com/test-run/878fe7e8-63d0-11f1-8176-0f09a18241fa/issue/9a895cd3-b1c8-4da0-95a4-a513902298fd
2710776: https://axeauditor.dequecloud.com/test-run/878fe7e8-63d0-11f1-8176-0f09a18241fa/issue/c7a2d341-a64c-4feb-9c38-4e71bbd6fb74",Per-issue deep link,https://axeauditor.dequecloud.com/test-run/878fe7e8-63d0-11f1-8176-0f09a18241fa,Innovaccer - DAP and Analytics Web Audit - Retest_06-09-26-12:25,Cohort Builder,"Expose correct name, role, value and state: use native semantics first, otherwise set the right `role` plus `aria-label`/`aria-labelledby`, and keep `aria-expanded`, `aria-selected`, `aria-sort`, `aria-checked` and required ARIA attributes in sync with the visual state. Avoid nested interactive elements.",Open — remediation required (3 occurrences),,
